34
Node	:42890
Mux		:16853
UIntLiteral		:15964
Eq		:8621
Port	:4875
Bits	:4143
And		:2692
Reg		:2331
Or		:1139
Cat		:985
ValidIf	:609
Add		:326
Tail	:301
AsUInt	:226
Not		:194
Memen	:164
Memdata	:164
Memclk	:164
Memaddr	:164
Neq		:130
Pad		:68
Memmask	:64
Lt		:44
Geq		:40
Xor		:35
Dshr	:17
Dshl	:15
Sub		:13
Gt		:12
Shl		:11
Shr		:4
AsSInt	:4
Mul		:2
Leq		:1

83
0	10702
1	56098
2	3439
3	4788
4	4655
5	1487
6	528
7	1095
8	1350
9	148
10	188
11	56
12	474
13	21
14	30
15	792
16	1167
17	209
18	262
19	371
20	31
21	125
22	11
23	28
24	43
25	70
26	241
27	24
28	110
29	36
30	35
31	725
32	1795
33	14
35	14
36	152
37	180
38	460
39	2501
40	6
41	12
42	8
43	12
46	8
47	6
48	5
51	22
52	32
54	10
55	18
56	35
57	4
58	20
59	25
60	54
61	52
62	156
63	856
64	6997
65	39
68	14
70	8
71	16
72	86
76	2
78	6
84	4
86	2
87	33
91	6
121	160
124	2
126	4
127	6
128	5
129	5
130	6
182	16
183	4
256	12
274	2
408	32
2599	2
